DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
HUBLOT AVEC BRIDE EN INOX;"INSTRUMENTATION";;"IRAP12-1105";;"CNRS";;;;"CABURN-MDC";1066,00;"RP ";"L05208";;;;;"29060438000--04-11-2005";;;"PIRENEA";;26/01/2012
MAC BOOK PRO 15,4"";"INFORMATIQUE";;"IRAP12-1106";;"CNRS";;;;"FRANCE SYSTEMES ";1491,36;313973;"L05899";;;;;"29060529000--2006-106";;;"CROS";;20/02/2012
EQUIPEMENT DE TEST ET DE COBTROLE;"INSTRUMENTATION";;"IRAP12-1107";;"CNRS";;;;"MICROTEC";9100,00;322201;"L05343";;;;;"14060847000--CNRS789";;;"WAEGEBAERT";;17/02/2012
CARTE D'AXE 8 AXES SÉRIE ACCELERA;"INSTRUMENTATION";;"IRAP12-1108";;"CNRS";;;;"A2V. APPL; VITESSE VARIABLE";3195,00;"RP ";"L05634";;;;;"29060535000--2006-104";;;"DONATI";;20/02/2012
CAT 3 CONF 4 LATITUDE;"INFORMATIQUE";;"IRAP12-1109";;"CNRS";;;;"DELL ";1088,00;297666;"L06306";;;;;"14060521000--791/09";;;"ASSARD";;15/03/2012
MACBOOK PRO 15,4"";"INFORMATIQUE";;"IRAP12-1110";;"CNRS";;;;"FRANCE SYSTEMES ";1272,26;28749131;"L06398";;;;;"29060615000--1509";;;"PALLIER";;12/03/2012
PRECISION M4 600;"INFORMATIQUE";;"IRAP12-1111";;"CNRS";;;;"DELL ";1626,00;322201;"L05909";;;;;"29060540000--2006-105";;;"LACOMBE";;14/03/2012
PRECISION M4 600;"INFORMATIQUE";;"IRAP12-1112";;"CNRS";;;;"DELL ";1176,00;322201;"L05908";;;;;"14060469000--790/30";;;"MARTIN J.L";;14/03/2012
CAT 2 CON 2 POWEREDGE;"INFORMATIQUE";;"IRAP12-1113";;"CNRS";;;;"DELL ";1337,00;"DOTATION ";"L05756";;;;;"14060522000--792/09";;;"PALETOU";;15/03/2012
CAT 2- CONF 2 - LATITUDE;"INFORMATIQUE";;"IRAP12-1114";;"CNRS";;;;"DELL ";;297844;"L06558";;;;;"14060559000--796/18";;;"LASSUE";;02/04/2012
