DESIGNATION MATERIEL;"CATEGORIE";"SOUS CATEGORIE";"N° INV. IRAP";"DESCRIPTION";"Organisme (UPS ou CNRS)";"INVENTORIABLE";"TECHNIQUE";"STATUT";"NOM du FOURNISSEUR";"MONTANT";"ORIGINE CREDITS";"CDE";"CODE COMPTABLE";"REF. MATERIEL - N° série";"groupe thematique";"groupe technique";"Numéro inventaire organisme";"Lieu de stockage";"description lieu";"NOM RESPONSABLE PROJET";"Mail responsable";"Date de mise en service"
Compresseur Air sec MXF;"INSTRUMENTATION";;"IRAP00-0035";;"CNRS";;;;;;;;;"1428";;;"207";;;"LE COMTE";;02/02/2000
LYNXOS;;;"IRAP00-0036";;"CNRS";;;;;3943,53;;;21830000;;;;"208";;;;;"07/06/2000"
SUPPORT BRONZE ANNUEL;"INSTRUMENTATION";;"IRAP00-0037";;"CNRS";;;;;2026,44;;;20530000;;;;"208";;;;;"13/06/2000"
LASERJET 4000N +KIT HP;"ELECTRONIQUE";;"IRAP00-0038";;"CNRS";;;;;1774,36;;;21830000;;;;"209";;;;;"21/06/2000"
COMMUTATEURS;"INFORMATIQUE";;"IRAP00-0039";;"CNRS";;;;;2047,09;;;21540000;;;;"210";;;;;"28/06/2000"
BASE EXPLORA 450SPACE;;;"IRAP00-0040";;"CNRS";;;;;1392,01;;;21830000;;;;"210";;;;;"13/07/2000"
GENERATEUR 2 VOIES D'IMP;"ELECTRONIQUE";;"IRAP00-0041";;"CNRS";;;;;1520,22;;;21540000;;;;"214";;;;;"18/08/2000"
OSCILLOSCOPE;"ELECTRONIQUE";;"IRAP00-0042";;"CNRS";;;;;19850,90;;;21540000;;;;"214";;;;;"30/10/2000"
LASERJET 4050N;"INFORMATIQUE";;"IRAP00-0043";;"CNRS";;;;;1316,73;;;21830000;;;;"215";;;;;"08/11/2000"
LASERJET 4050N;"INFORMATIQUE";;"IRAP00-0044";;"CNRS";;;;;1628,48;;;21830000;;;;"221";;;;;"08/11/2000"
OSCILLOSCOPE TEKTRONIX;"ELECTRONIQUE";;"IRAP00-0045";;"CNRS";;;;;9201,87;;;21530000;;;;"224";;;;;"14/11/2000"
ORDINATEUR DELL OPTIPLEX;"INFORMATIQUE";;"IRAP00-0046";;"CNRS";;;;;1924,15;;;21830000;;;;"225";;;;;"16/11/2000"
Calibrateur process 743B;"INSTRUMENTATION";;"IRAP01-0047";;;;;;;;;;;7782001;;;"226";;;"PETIOT";;30/01/2001
analyseur de faisceau laser Laser Power Meter 500A;"INSTRUMENTATION";;"IRAP01-0048";;;;;;;;;;;"0092B01";;;"227";;;"BONNAMY";;01/05/2001
BAY STACK 450 24 T;"INFORMATIQUE";;"IRAP01-0049";;"CNRS";;;;;2096,17;;;21830000;;;;"231";;;;;"04/05/2001"
BAY STACK 450 24 T;"INFORMATIQUE";;"IRAP01-0050";;"CNRS";;;;;2096,17;;;21830000;;;;"233";;;;;"04/05/2001"
BAY STACK 450 24 T;"INFORMATIQUE";;"IRAP01-0051";;"CNRS";;;;;2096,17;;;21830000;;;;"236";;;;;"04/05/2001"
MANOMETRE BRIDE DN 16;"INSTRUMENTATION";;"IRAP01-0052";;"CNRS";;;;;3408,76;;;21540000;;;;"238";;;;;"11/05/2001"
HP DRUKER LASER JET;"INFORMATIQUE";;"IRAP01-0053";;"CNRS";;;;;1307,89;;;21830000;;;;"239";;;;;"30/05/2001"
MESUREUR DE PUISSANCE;"INSTRUMENTATION";;"IRAP01-0054";;"CNRS";;;;;1379,31;;;21540000;;;;"240";;;;;"22/06/2001"
LECTEUR DAT TRANSTEC;"INFORMATIQUE";;"IRAP01-0055";;"CNRS";;;;;1993,27;;;21830000;;;;"241";;;;;"17/07/2001"
FILTRE INTERFERENTIEL;"INSTRUMENTATION";;"IRAP01-0056";;"CNRS";;;;;3055,92;;;21540000;;;;"2402";;;;;"17/07/2001"
ULTRASONIC CLEANER;"INSTRUMENTATION";;"IRAP01-0057";;"CNRS";;;;;1089,10;;;21540000;;;;"242";;;;;"20/07/2001"
TRANSTEC 300;"INFORMATIQUE";;"IRAP01-0058";;"CNRS";;;;;2161,73;;;21830000;;;;"243";;;;;"20/07/2001"
POWER MAC G4;"INFORMATIQUE";;"IRAP01-0059";;"CNRS";;;;;6248,89;;;21830000;;;;"244";;;;;"20/07/2001"
ENSEMBLE IODE SILICIUM;"INSTRUMENTATION";;"IRAP01-0060";;"CNRS";;;;;5617,75;;;21540000;;;;"245";;;;;"25/07/2001"
DETENTEUR HBS;"INSTRUMENTATION";;"IRAP01-0061";;"CNRS";;;;;939,97;;;21540000;;;;"246";;;;;"25/07/2001"
EXPLORA 456;;;"IRAP01-0062";;"CNRS";;;;;1567,18;;;21830000;;;;"248";;;;;"07/08/2001"
EXPLORA 455;;;"IRAP01-0063";;"CNRS";;;;;1567,18;;;21830000;;;;"250";;;;;"07/08/2001"
CLIMATISEUR;"LOGISTIQUE";;"IRAP01-0064";;"CNRS";;;;;1018,45;;;21540000;;;;"251";;;;;"10/08/2001"
REFLECTEUR ELLIPSOIDAL;"INSTRUMENTATION";;"IRAP01-0065";;"CNRS";;;;;1088,03;;;21540000;;;;"252";;;;;"11/09/2001"
BRIDEDE LIAISON TELESCOP;"INSTRUMENTATION";;"IRAP01-0066";;"CNRS";;;;;4249,80;;;21540000;;;;"253";;;;;"14/09/2001"
BRIDE LIAISON TELESCOPE;"INSTRUMENTATION";;"IRAP01-0067";;"CNRS";;;;;4249,80;;;21540000;;;;"254";;;;;"14/09/2001"
BRIDE LIAISON TELESCOPE;"INSTRUMENTATION";;"IRAP01-0068";;"CNRS";;;;;4249,80;;;21540000;;;;"255";;;;;"14/09/2001"
MANOMETRE;"INSTRUMENTATION";;"IRAP01-0069";;"CNRS";;;;;2046,00;;;21540000;;;;"256";;;;;"18/09/2001"
TRANSTEC 5000;"INFORMATIQUE";;"IRAP01-0070";;"CNRS";;;;;7591,20;;;21830000;;;;"257";;;;;"05/10/2001"
GROUPE DE POMPAGE P50;"INSTRUMENTATION";;"IRAP01-0071";;"CNRS";;;;;4810,07;;;21540000;;;;"258";;;;;"08/10/2001"
VANNES A SOUFLETS;"INSTRUMENTATION";;"IRAP01-0072";;"CNRS";;;;;2459,45;;;21540000;;;;"259";;;;;"13/10/2001"
VANNES A SOUFLETS;"INSTRUMENTATION";;"IRAP01-0073";;"CNRS";;;;;2459,45;;;21540000;;;;"260";;;;;"13/10/2001"
OSCILLATEUR PARAMETRIQUE;"ELECTRONIQUE";;"IRAP01-0074";;"CNRS";;;;;1782,13;;;21540000;;;;"261";;;;;"19/10/2001"
DESKPRO EX PIII/1GHZ;"INFORMATIQUE";;"IRAP01-0075";;"CNRS";;;;;989,39;;;21830000;;;;"262";;;;;"09/11/2001"
PROGRAMMATEUR;"ELECTRONIQUE";;"IRAP01-0076";;"CNRS";;;;;1128,13;;;21540000;;;;"263";;;;;"30/11/2001"
EXTRACTEUR;"INSTRUMENTATION";;"IRAP01-0077";;"CNRS";;;;;1286,97;;;21540000;;;;"264";;;;;"04/12/2001"
RACCORD CROIX 6 BRANCHES;"INSTRUMENTATION";;"IRAP01-0078";;"CNRS";;;;;6081,19;;;21540000;;;;"265";;;;;"04/12/2001"
TURBOVAC TW300;"INSTRUMENTATION";;"IRAP01-0079";;"CNRS";;;;;2580,11;;;21540000;;;;"268";;;;;"06/12/2001"
APPAREIL KWANT;"INSTRUMENTATION";;"IRAP01-0080";;"CNRS";;;;;1005,86;;;21540000;;;;"269";;;;;"06/12/2001"
VERIN MOTORISE;"INSTRUMENTATION";;"IRAP01-0081";;"CNRS";;;;;874,46;;;21540000;;;;"270";;;;;"11/12/2001"
ROTATION SURB 80MM;"INSTRUMENTATION";;"IRAP01-0082";;"CNRS";;;;;2182,27;;;21540000;;;;"282";;;;;"11/12/2001"
STATION D'ACQUISITION;"INSTRUMENTATION";;"IRAP01-0083";;"CNRS";;;;;2620,60;;;21540000;;;;"284";;;;;"11/12/2001"
LABVIEW FDS+PCI-DIO-32HS;"INSTRUMENTATION";"LOGICIEL";"IRAP01-0084";;"CNRS";;;;;3891,75;;;21830000;;;;"285";;;;;"11/12/2001"
PB G4/550 TITANIUM;"INSTRUMENTATION";;"IRAP01-0085";;"CNRS";;;;;2494,06;;;21830000;;;;"286";;;;;"11/12/2001"
SORBONNE AUTOPORTANTE;"INSTRUMENTATION";;"IRAP01-0086";;"CNRS";;;;;7622,30;;;21540000;;;;"287";;;;;"14/12/2001"
JAUGE A VIDE;"INSTRUMENTATION";;"IRAP01-0087";;"CNRS";;;;;1546,00;;;21540000;;;;"289";;;;;"14/12/2001"
COMPRESSEUR A PISTON;"INSTRUMENTATION";;"IRAP01-0088";;"CNRS";;;;;3818,54;;;21540000;;;;"290";;;;;"14/12/2001"
PROJECTEUR PORTABLE;"INSTRUMENTATION";;"IRAP01-0089";;"CNRS";;;;;3463,64;;;21540000;;;;"291";;;;;"14/12/2001"
LABVIEW APPLIC BUILDER;"INSTRUMENTATION";"LOGICIEL";"IRAP01-0090";;"CNRS";;;;;1046,25;;;21830000;;;;"292";;;;;"18/12/2001"
HP 2280 COULEUR JET ENCR;"INFORMATIQUE";;"IRAP02-0091";;"CNRS";;;;;1065,00;;;21830000;;;;"294";;;;;"05/01/2002"
VIDEOPROJECTEUR 3M 7760;"LOGISTIQUE";;"IRAP02-0092";;"CNRS";;;;;3900,00;;;21830000;;;;"296";;;;;"22/01/2002"
VANNE TIROIR A SOUFFLET;"INSTRUMENTATION";;"IRAP02-0093";;"CNRS";;;;;1818,00;;;21540000;;;;"300";;;;;"01/02/2002"
POMPE A VIDE ET LOUPE;"INSTRUMENTATION";;"IRAP02-0094";;"CNRS";;;;;833,46;;;21540000;;;;"304";;;;;"08/02/2002"
LATITUDE C840 PIV;"INFORMATIQUE";;"IRAP02-0095";;"CNRS";;;;;4176,74;;;21830000;;;;"309/09";;;;;"15/02/2002"
TRANSLATION COMPACTE;"INSTRUMENTATION";;"IRAP02-0096";;"CNRS";;;;;1870,78;;;21540000;;;;"310";;;;;"20/02/2002"
DIODE 7MW + ACCESS;"ELECTRONIQUE";;"IRAP02-0097";;"CNRS";;;;;4752,00;;;21540000;;;;"311";;;;;"04/03/2002"
ANALYSEUR DE SPECTRE;"INSTRUMENTATION";;"IRAP02-0098";;"CNRS";;;;;50506,00;;;21540000;;;;"312";;;;;"04/03/2002"
2 AMPLIF. POUR PHOTODIOP;"ELECTRONIQUE";;"IRAP02-0099";;"CNRS";;;;;2079,50;;;21540000;;;;"313";;;;;"07/03/2002"
MIROIRS EN SILICE;"INSTRUMENTATION";;"IRAP02-0100";;"CNRS";;;;;1610,00;;;21540000;;;;"314";;;;;"08/03/2002"
MIROIR SILICE;"INSTRUMENTATION";;"IRAP02-0101";;"CNRS";;;;;1610,00;;;21540000;;;;"314";;;;;"08/03/2002"
ANALYSEUR DE SPECTRE HP;"INSTRUMENTATION";;"IRAP02-0102";;"CNRS";;;;;11977,62;;;21540000;;;;"316";;;;;"13/03/2002"
HP SURESTORE DAT 24i acc;"INFORMATIQUE";;"IRAP02-0103";;"CNRS";;;;;2418,69;;;21830000;;;;"317";;;;;"15/03/2002"
FOUR 1700 degres;"INSTRUMENTATION";;"IRAP02-0104";;"CNRS";;;;;14508,93;;;21540000;;;;"318/25";;;;;"17/04/2002"
METER COMPACT MONOCHROMA;"INSTRUMENTATION";;"IRAP02-0105";;"CNRS";;;;;3326,00;;;21540000;;;;"318";;;;;"19/04/2002"
DETENDEUR DRLS;"INSTRUMENTATION";;"IRAP02-0106";;"CNRS";;;;;928,92;;;21540000;;;;"319/25";;;;;"23/04/2002"
HUBLOT TYPE VACOPTIX;"INSTRUMENTATION";;"IRAP02-0107";;"CNRS";;;;;1259,70;;;21540000;;;;"319";;;;;"03/05/2002"
QI-ATHLON XP 1800+;"INFORMATIQUE";;"IRAP02-0108";;"CNRS";;;;;1304,53;;;21830000;;;;"320";;;;;"03/05/2002"
QI-ATHLON XP 1800+;"INFORMATIQUE";;"IRAP02-0109";;"CNRS";;;;;1120,53;;;21830000;;;;"320";;;;;"03/05/2002"
QI-ATHLON XP 1800+;"INFORMATIQUE";;"IRAP02-0110";;"CNRS";;;;;841,53;;;21830000;;;;"321";;;;;"03/05/2002"
QI-ATHLON XP 1800+;"INFORMATIQUE";;"IRAP02-0111";;"CNRS";;;;;1448,53;;;21830000;;;;"322";;;;;"03/05/2002"
ACCESSOIRES;;;"IRAP02-0112";;"CNRS";;;;;2558,42;;;21830000;;;;"324";;;;;"03/05/2002"
ELECTRONIC SHUTTER CONTR;"INSTRUMENTATION";;"IRAP02-0113";;"CNRS";;;;;863,47;;;21540000;;;;"325";;;;;"29/05/2002"
3 ALIM.OEM POUR LAMPE CA;"ELECTRONIQUE";;"IRAP02-0114";;"CNRS";;;;;2807,19;;;21540000;;;;"325";;;;;"29/05/2002"
Oscilloscope TDS 2024;"ELECTRONIQUE";;"IRAP02-0115";;;;;;;;;;;"C010475";;;"326";;;"BONNAMY";;01/06/2002
RACCORD EN T;"INSTRUMENTATION";;"IRAP02-0116";;"CNRS";;;;;2331,55;;;21540000;;;;"326";;;;;"07/06/2002"
MACH.COURANT DETERMINE;"ELECTRONIQUE";;"IRAP02-0117";;"CNRS";;;;;2225,60;;;21540000;;;;"327";;;;;"14/06/2002"
APP.HAUTE TENSION 2KV;"ELECTRONIQUE";;"IRAP02-0118";;"CNRS";;;;;1862,50;;;21540000;;;;"327";;;;;"21/06/2002"
SYSTEME PTI TELEPROJECT;"INSTRUMENTATION";;"IRAP02-0119";;"CNRS";;;;;10982,83;;;21540000;;;;"328";;;;;"21/06/2002"
ENSEMBLE ORCAD;"INSTRUMENTATION";"LOGICIEL";"IRAP02-0120";;"CNRS";;;;;4955,00;;;20530000;;;;"328";;;;;"26/06/2002"
CHASSIS ALIMENT 700H;"ELECTRONIQUE";;"IRAP02-0121";;"CNRS";;;;;2674,50;;;21540000;;;;"329";;;;;"26/06/2002"
SEPARATEUR DE WOLLASTON;"INSTRUMENTATION";;"IRAP02-0122";;"CNRS";;;;;980,00;;;21540000;;;;"329";;;;;"05/07/2002"
POLARISEUR DE GLAND;"INSTRUMENTATION";;"IRAP02-0123";;"CNRS";;;;;1802,20;;;21540000;;;;"330";;;;;"05/07/2002"
LATITUDE C810 P3;"INFORMATIQUE";;"IRAP02-0124";;"CNRS";;;;;2461,30;;;21830000;;;;"331";;;;;"09/07/2002"
QI ATHLON XP 1700 + BOIT;"INFORMATIQUE";;"IRAP02-0125";;"CNRS";;;;;976,93;;;21830000;;;;"331";;;;;"26/07/2002"
QI ATHLON XP 1700 + BOIT;"INFORMATIQUE";;"IRAP02-0126";;"CNRS";;;;;976,92;;;21830000;;;;"332";;;;;"26/07/2002"
QI ATHLON XP 1700+BOITI;"INFORMATIQUE";;"IRAP02-0127";;"CNRS";;;;;909,00;;;21830000;;;;"332";;;;;"26/07/2002"
PLATINE DE ROTATION MAN;"INSTRUMENTATION";;"IRAP02-0128";;"CNRS";;;;;1081,35;;;21540000;;;;"CNRS333";;;;;"20/08/2002"
PLATINE ULTRALIGNE;"INSTRUMENTATION";;"IRAP02-0129";;"CNRS";;;;;1155,22;;;21540000;;;;"333";;;;;"20/08/2002"
ACCESSOIRES;;;"IRAP02-0130";;"CNRS";;;;;1448,92;;;21540000;;;;"334";;;;;"20/08/2002"
AUTOCOLLIMATEUR VISUEL;"INSTRUMENTATION";;"IRAP02-0131";;"CNRS";;;;;1675,00;;;21540000;;;;"334";;;;;"20/08/2002"
PLATEAU TOURNANT COMPACT;"INSTRUMENTATION";;"IRAP02-0132";;"CNRS";;;;;1347,46;;;21540000;;;;"335";;;;;"20/08/2002"
TRANSLATION TPE M MTM;"INSTRUMENTATION";;"IRAP02-0133";;"CNRS";;;;;3885,74;;;21540000;;;;"335";;;;;"20/08/2002"
PLATINE ULTRALIGN XY;"INSTRUMENTATION";;"IRAP02-0134";;"CNRS";;;;;904,24;;;21540000;;;;"337";;;;;"28/08/2002"
ROUTEUR CISCO 3660;"INFORMATIQUE";;"IRAP02-0135";;"CNRS";;;;;8451,00;;;21540000;;;;"338";;;;;"04/09/2002"
ANALYSEUR GRAPHIQUE 4V;"INSTRUMENTATION";;"IRAP02-0136";;"CNRS";;;;;2830,00;;;21540000;;;;"338";;;;;"06/09/2002"
BAYSTACK 450 SWITHC 24 P;"INFORMATIQUE";;"IRAP02-0137";;"CNRS";;;;;1500,00;;;21540000;;;;"339";;;;;"06/09/2002"
BAYSTACK 450 SWITCH 24 P;"INFORMATIQUE";;"IRAP02-0138";;"CNRS";;;;;1500,00;;;21540000;;;;"339";;;;;"06/09/2002"
BAYSTACK 450 SWITCH 24 P;"INFORMATIQUE";;"IRAP02-0139";;"CNRS";;;;;1500,00;;;21540000;;;;"340";;;;;"06/09/2002"
BAYSTACK 450 SWITCH 24 P;"INFORMATIQUE";;"IRAP02-0140";;"CNRS";;;;;1500,00;;;21540000;;;;"340";;;;;"06/09/2002"
BAYSTACK 450 SWITCH 24 P;"INFORMATIQUE";;"IRAP02-0141";;"CNRS";;;;;1500,00;;;21540000;;;;"341";;;;;"06/09/2002"
MONITEUR IIYAMA 18,1';"INSTRUMENTATION";;"IRAP02-0142";;"CNRS";;;;;1269,00;;;21830000;;;;"341";;;;;"04/10/2002"
ELECTROMETRE 6514;"INSTRUMENTATION";;"IRAP02-0143";;"CNRS";;;;;5938,00;;;21540000;;;;"341";;;;;"04/10/2002"
SIMPLE CCD CONTROLER;"ELECTRONIQUE";;"IRAP02-0144";;"CNRS";;;;;18360,00;;;21540000;;;;"342";;;;;"20/09/2002"
3002 D HAUTE TENSION 3KV;"ELECTRONIQUE";;"IRAP02-0145";;"CNRS";;;;;2693,00;;;21540000;;;;"342";;;;;"15/10/2002"
UNITE DE PUISSANCE;"INSTRUMENTATION";;"IRAP02-0146";;"CNRS";;;;;1237,00;;;21540000;;;;"343";;;;;"24/10/2002"
NIKON COOLPIX 5000;"INSTRUMENTATION";;"IRAP02-0147";;"CNRS";;;;;1765,16;;;21540000;;;;"344";;;;;"30/10/2002"
LATITUDE C840 P4;"INFORMATIQUE";;"IRAP02-0148";;"CNRS";;;;;2207,95;;;21830000;;;;"345";;;;;"30/10/2002"
DETENDEUR DLRS 240;"INSTRUMENTATION";;"IRAP02-0149";;"CNRS";;;;;915,20;;;21540000;;;;"345";;;;;"08/11/2002"
TABLE NID D'ABEILLE;"INSTRUMENTATION";;"IRAP02-0150";;"CNRS";;;;;6975,82;;;21540000;;;;"346";;;;;"08/11/2002"
MIROIR PYREX 203.2 MM;"INSTRUMENTATION";;"IRAP02-0151";;"CNRS";;;;;2216,99;;;21540000;;;;"346";;;;;"08/11/2002"
MIROIR PYREX 203.2 MM;"INSTRUMENTATION";;"IRAP02-0152";;"CNRS";;;;;2216,99;;;21540000;;;;"347";;;;;"08/11/2002"
SUN STOREDGE D1000;"INFORMATIQUE";;"IRAP02-0153";;"CNRS";;;;;9728,50;;;21830000;;;;"347";;;;;"08/11/2002"
LATITUDE C840 P4;"INFORMATIQUE";;"IRAP02-0154";;"CNRS";;;;;2349,90;;;21830000;;;;"348";;;;;"26/11/2002"
I0403 2600PIII 13LT;"INFORMATIQUE";;"IRAP02-0155";;"CNRS";;;;;2269,55;;;21830000;;;;"349";;;;;"27/11/2002"
PLATINE ULTRALIGN XY;"INSTRUMENTATION";;"IRAP02-0156";;"CNRS";;;;;857,96;;;21540000;;;;"349";;;;;"06/12/2002"
LATITUDE C840 P4;"INFORMATIQUE";;"IRAP02-0157";;"CNRS";;;;;2817,40;;;21830000;;;;"350";;;;;06/12/2002
MIROIR PRINCIPAL ET;"INSTRUMENTATION";;"IRAP02-0158";;"CNRS";;;;;10670,00;;;21540000;;;;"350";;;;;"13/12/2002"
SERVSWITCH WIZARD PRO 8;"INFORMATIQUE";;"IRAP02-0159";;"CNRS";;;;;1175,34;;;21830000;;;;"351";;;;;"13/12/2002"
MODEM INTERNE;"INSTRUMENTATION";;"IRAP02-0160";;"CNRS";;;;;2293,00;;;21830000;;;;"352";;;;;"16/12/2002"
ORDINATEUR PM G4 + MONIT;"INFORMATIQUE";;"IRAP02-0161";;"CNRS";;;;;8338,05;;;21830000;;;;"353";;;;;"17/12/2002"
PENTIUM INTEGRATION P4;"INFORMATIQUE";;"IRAP03-0162";;"CNRS";;;;;1268,46;;;21830000;;;;"353";;;;;"20/02/2003"
PORTABLE IBM THIKPAD A31;"INFORMATIQUE";;"IRAP03-0163";;"CNRS";;;;;2470,32;;;21830000;;;;"354";;;;;"26/02/2003"
W TOSHIBA PORTABLE SAT;"INFORMATIQUE";;"IRAP03-0164";;"CNRS";;;;;1506,10;;;21830000;;;;"354";;;;;"27/02/2003"
Aspirateur HDS 1010;"INSTRUMENTATION";;"IRAP03-0165";;;;;;;;;;;;;;"355";;;"LE COMTE";;18/03/2003
MULTIMETRE;"ELECTRONIQUE";;"IRAP03-0166";;"CNRS";;;;;1399,85;;;21540000;;;;"356";;;;;"26/03/2003"
SONY MONITEUR 18 LCD;"INFORMATIQUE";;"IRAP03-0167";;"CNRS";;;;;1290,00;;;21830000;;;;"357";;;;;"01/04/2003"
BAYSTACK 450 24T SWITCH;"INFORMATIQUE";;"IRAP03-0168";;"CNRS";;;;;4515,00;;;21540000;;;;"358";;;;;"16/04/2003"
ATHLON XP 2400+ 256DDR;"INFORMATIQUE";;"IRAP03-0169";;"CNRS";;;;;984,95;;;21830000;;;;"359";;;;;"29/04/2003"
NOTEBOOK TOSHIBA 2.53GHZ;"INFORMATIQUE";;"IRAP03-0170";;"CNRS";;;;;2154,02;;;21830000;;;;"359";;;;;"16/05/2003"
1 OSCILLOSCOPE DPO-100MH;"ELECTRONIQUE";;"IRAP03-0171";;"CNRS";;;;;4855,84;;;21540000;;;;"360";;;;;"16/05/2003"
LATITUDE C400 PENTIUMIII;"INFORMATIQUE";;"IRAP03-0172";;"CNRS";;;;;1754,50;;;21830000;;;;"360";;;;;"16/05/2003"
ASUS OPEN ATX;"INFORMATIQUE";;"IRAP03-0173";;"CNRS";;;;;1431,82;;;21830000;;;;"361";;;;;"21/05/2003"
LICENCE FLOTTANTE MONO-;"INFORMATIQUE";;"IRAP03-0174";;"CNRS";;;;;1335,50;;;20530000;;;;"361";;;;;"03/06/2003"
PORTABLE POWERBOOK APPLE;"INFORMATIQUE";;"IRAP03-0175";;"CNRS";;;;;2929,00;;;21830000;;;;"362";;;;;"05/06/2003"
UNITE CENTRALE PC;"INFORMATIQUE";;"IRAP03-0176";;"CNRS";;;;;888,80;;;21830000;;;;"362";;;;;"05/06/2003"
ORDINATEUR PRECISION 650;"INFORMATIQUE";;"IRAP03-0177";;"CNRS";;;;;3300,00;;;21830000;;;;"363";;;;;"03/07/2003"
TRANSTEC 1200 LOW NOISE;"INFORMATIQUE";;"IRAP03-0178";;"CNRS";;;;;2963,00;;;21830000;;;;"363";;;;;"07/07/2003"
MANOMETRE ABSOLU;"INSTRUMENTATION";;"IRAP03-0179";;"CNRS";;;;;4984,69;;;21540000;;;;"364";;;;;"08/07/2003"
PORTABLE COMPAQ;"INFORMATIQUE";;"IRAP03-0180";;"CNRS";;;;;3895,68;;;21830000;;;;"365";;;;;"15/07/2003"
INMAC PC P4 2.8GHZ 256;"INFORMATIQUE";;"IRAP03-0181";;"CNRS";;;;;839,00;;;21830000;;;;"365";;;;;"18/07/2003"
STATION DE TRAVAIL WMD 3;"INFORMATIQUE";;"IRAP03-0182";;"CNRS";;;;;1740,83;;;21540000;;;;"366";;;;;"18/07/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0183";;"CNRS";;;;;1360,00;;;21540000;;;;"366";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0184";;"CNRS";;;;;1360,00;;;21540000;;;;"367";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0185";;"CNRS";;;;;1360,00;;;21540000;;;;"367";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0186";;"CNRS";;;;;1360,00;;;21540000;;;;"368";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0187";;"CNRS";;;;;1360,00;;;21540000;;;;"368";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0188";;"CNRS";;;;;1360,00;;;21540000;;;;"369";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0189";;"CNRS";;;;;1360,00;;;21540000;;;;"370";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0190";;"CNRS";;;;;1360,00;;;21540000;;;;"371";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0191";;"CNRS";;;;;1360,00;;;21540000;;;;"372";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0192";;"CNRS";;;;;1360,00;;;21540000;;;;"372";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0193";;"CNRS";;;;;1360,00;;;21540000;;;;"373";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0194";;"CNRS";;;;;1360,00;;;21540000;;;;"373";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0195";;"CNRS";;;;;1360,00;;;21540000;;;;"374";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0196";;"CNRS";;;;;1360,00;;;21540000;;;;"374";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0197";;"CNRS";;;;;1360,00;;;21540000;;;;"375";;;;;"07/08/2003"
TIROIR AMPLIFICATEURS;"INSTRUMENTATION";;"IRAP03-0198";;"CNRS";;;;;1360,00;;;21540000;;;;"375";;;;;"07/08/2003"
TIROIRS HT;"INSTRUMENTATION";;"IRAP03-0199";;"CNRS";;;;;826,50;;;21540000;;;;"377";;;;;"07/08/2003"
TIROIRS HT 7715P;"INSTRUMENTATION";;"IRAP03-0200";;"CNRS";;;;;826,50;;;21540000;;;;"378";;;;;"07/08/2003"
RACK MIN 12 UNITES;"INFORMATIQUE";;"IRAP03-0201";;"CNRS";;;;;2688,50;;;21540000;;;;"378";;;;;"07/08/2003"
RACK MIN 12 UNITES 7002;"INFORMATIQUE";;"IRAP03-0202";;"CNRS";;;;;2688,50;;;21540000;;;;"379";;;;;"07/08/2003"
TIROIRS ADC FAST 7074;"INSTRUMENTATION";;"IRAP03-0203";;"CNRS";;;;;6598,70;;;21540000;;;;"379";;;;;"07/08/2003"
TIROIRS ADC FAST;"INSTRUMENTATION";;"IRAP03-0204";;"CNRS";;;;;6598,70;;;21540000;;;;"380";;;;;"07/08/2003"
TIROIRS ADC FAST 7074;"INSTRUMENTATION";;"IRAP03-0205";;"CNRS";;;;;6598,70;;;21540000;;;;"381";;;;;"07/08/2003"
1 MICRO 1G/1GO/60 SDRIVE;"INFORMATIQUE";;"IRAP03-0206";;"CNRS";;;;;4632,12;;;21830000;;;;"381";;;;;"07/08/2003"
LATITUDE D800 PENTIUM;"INFORMATIQUE";;"IRAP03-0207";;"CNRS";;;;;2298,88;;;21830000;;;;"382";;;;;"08/08/2003"
LINUX ADVANCED SERVER;"INFORMATIQUE";;"IRAP03-0208";;"CNRS";;;;;9219,36;;;21830000;;;;"383";;;;;"20/08/2003"
